;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
0;1;1;1.0;1.0;2052.26;1.0;4.0;54.31999969482422;75+       ;75+       ;2;0;1.0;
1;1;1;1.0;1.0;1690.94;1.0;3.0;76.79000091552734;75+       ;75+       ;4;0;1.0;
2;1;1;1.0;1.0;8324.2;1.0;2.0;86.83999633789062;75+       ;75+       ;35;5;1.0;
3;1;1;1.0;1.0;16678.85;1.0;4.0;49.119998931884766;75+       ;75+       ;3;1;1.0;
4;1;1;1.0;1.0;4135.15;2.0;3.0;73.55000305175781;75+       ;75+       ;40;9;1.0;
5;1;1;1.0;1.0;3954.35;1.0;4.0;53.9900016784668;75+       ;75+       ;13;0;1.0;
6;1;1;1.0;1.0;2228.93;1.0;6.0;35.290000915527344;75+       ;75+       ;6;1;1.0;
7;1;1;1.0;1.0;424.56;2.0;4.0;55.54999923706055;90-95     ;75+       ;3;1;1.0;
8;1;1;1.0;1.0;1320.82;1.0;2.0;98.37000274658203;75+       ;75+       ;43;1;1.0;
9;1;1;1.0;1.0;9876.66;1.0;5.0;48.02000045776367;75+       ;75+       ;10;1;1.0;
10;1;1;1.0;1.0;1437.41;2.0;4.0;60.36000061035156;75+       ;75+       ;33;0;1.0;
11;1;1;1.0;1.0;3479.86;2.0;4.0;54.279998779296875;75+       ;75+       ;19;2;1.0;
12;1;1;1.0;1.0;5620.01;1.0;2.0;92.2300033569336;75+       ;75+       ;11;3;1.0;
13;1;1;1.0;1.0;4057.89;2.0;2.0;83.7300033569336;75+       ;75+       ;33;0;1.0;
14;1;1;1.0;1.0;2059.86;2.0;2.0;88.04000091552734;75+       ;75+       ;2;0;1.0;
15;1;1;1.0;1.0;5147.01;1.0;3.0;66.66999816894531;75+       ;75+       ;8;1;1.0;
16;1;1;1.0;1.0;4081.59;1.0;4.0;56.060001373291016;75+       ;75+       ;27;4;1.0;
17;1;1;1.0;1.0;216.29;1.0;4.0;50.79999923706055;90-95     ;75+       ;8;1;1.0;
18;1;1;1.0;1.0;1315.81;1.0;5.0;48.65999984741211;75+       ;75+       ;14;1;1.0;
19;1;1;1.0;1.0;49927.66;2.0;1.0;100.0;90-95     ;75+       ;33;0;1.0;
20;1;1;1.0;1.0;3757.61;2.0;3.0;65.94000244140625;75+       ;75+       ;2;0;1.0;
21;1;1;1.0;1.0;5171.93;2.0;2.0;83.41000366210938;75+       ;75+       ;7;0;1.0;
22;1;1;1.0;1.0;4112.88;1.0;4.0;50.970001220703125;75+       ;75+       ;12;1;1.0;
23;1;1;1.0;1.0;14664.06;1.0;3.0;63.25;75+       ;75+       ;8;2;1.0;
24;1;1;1.0;1.0;3756.07;1.0;3.0;79.19999694824219;75+       ;75+       ;29;2;1.0;
25;1;1;1.0;1.0;4091.5;1.0;4.0;55.7400016784668;90-95     ;75+       ;12;0;1.0;
26;1;1;1.0;1.0;15070.75;1.0;4.0;50.70000076293945;90-95     ;75+       ;23;5;1.0;
27;1;1;1.0;1.0;21985.16;1.0;3.0;70.0;75+       ;75+       ;10;0;1.0;
28;1;1;1.0;1.0;472.78;2.0;4.0;62.16999816894531;75+       ;75+       ;2;0;1.0;
29;1;1;1.0;1.0;5309.52;2.0;4.0;50.20000076293945;75+       ;75+       ;25;3;1.0;
30;1;1;1.0;1.0;713.9881;2.0;4.0;55.959999084472656;75+       ;75+       ;5;0;1.0;
31;1;1;1.0;1.0;402.75;2.0;3.0;78.86000061035156;75+       ;75+       ;12;0;1.0;
32;1;1;1.0;1.0;5734.33;2.0;3.0;70.80999755859375;75+       ;75+       ;16;2;1.0;
33;1;1;1.0;1.0;14382.19;1.0;5.0;47.529998779296875;75+       ;75+       ;12;0;1.0;
34;1;1;1.0;1.0;6325.03;1.0;4.0;54.13999938964844;75+       ;75+       ;3;0;1.0;
35;1;1;1.0;1.0;17985.05;2.0;4.0;57.959999084472656;75+       ;75+       ;3;0;1.0;
36;1;1;1.0;1.0;1627.31;2.0;3.0;76.76000213623047;75+       ;75+       ;18;2;1.0;
37;1;1;1.0;1.0;8906.2;2.0;1.0;100.0;90-95     ;75+       ;63;10;1.0;
38;1;1;1.0;1.0;1746.0;1.0;3.0;76.12999725341797;75+       ;75+       ;16;2;1.0;
39;1;1;1.0;1.0;407.64;1.0;4.0;58.400001525878906;75+       ;75+       ;7;0;1.0;
40;1;1;1.0;1.0;2780.69;1.0;4.0;52.5;75+       ;75+       ;4;1;1.0;
41;1;1;1.0;1.0;2877.54;2.0;2.0;82.77999877929688;75+       ;75+       ;28;0;1.0;
42;1;1;1.0;1.0;2036.53;2.0;4.0;52.25;75+       ;75+       ;12;2;1.0;
43;1;1;1.0;1.0;2880.68;2.0;4.0;52.63999938964844;75+       ;75+       ;65;6;1.0;
44;1;1;1.0;1.0;3527.46;1.0;3.0;64.11000061035156;75+       ;75+       ;3;0;1.0;
45;1;1;1.0;1.0;2196.94;1.0;2.0;85.08000183105469;75+       ;75+       ;4;0;1.0;
46;1;1;1.0;1.0;2848.04;1.0;1.0;100.0;75+       ;75+       ;22;2;1.0;
47;1;1;1.0;1.0;6010.72;1.0;4.0;62.380001068115234;75+       ;75+       ;3;1;1.0;
48;1;1;1.0;1.0;1137.2;1.0;3.0;70.33000183105469;75+       ;75+       ;1;1;1.0;
49;1;1;1.0;1.0;860.58;2.0;3.0;74.62000274658203;75+       ;75+       ;28;1;1.0;
50;1;1;1.0;1.0;14951.77;1.0;1.0;100.0;75+       ;75+       ;30;4;1.0;
51;1;1;1.0;1.0;11592.76;1.0;2.0;89.18000030517578;75+       ;75+       ;124;4;1.0;
52;1;1;1.0;1.0;10086.82;1.0;4.0;55.689998626708984;75+       ;75+       ;54;1;1.0;
53;1;1;1.0;1.0;24268.81;1.0;4.0;58.849998474121094;75+       ;75+       ;4;2;1.0;
54;1;1;1.0;1.0;1471.0;1.0;4.0;53.7400016784668;75+       ;75+       ;13;5;1.0;
55;1;1;1.0;1.0;6738.23;2.0;2.0;87.44000244140625;75+       ;75+       ;28;0;1.0;
56;1;1;1.0;1.0;1464.18;1.0;2.0;81.72000122070312;75+       ;75+       ;13;1;1.0;
57;1;1;1.0;1.0;1680.12;2.0;3.0;78.93000030517578;75+       ;75+       ;14;2;1.0;
58;1;1;1.0;1.0;3553.19;2.0;2.0;91.29000091552734;75+       ;75+       ;30;4;1.0;
59;1;1;1.0;1.0;4068.0;1.0;4.0;50.970001220703125;75+       ;75+       ;8;0;1.0;
60;1;1;1.0;1.0;1466.71;1.0;4.0;59.130001068115234;75+       ;75+       ;25;3;1.0;
