;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
0;1;1;1.0;1.0;2052.26;1.0;4.0;54.32;75+       ;75+       ;2;0;1.0;1591933.63
1;1;1;1.0;1.0;1690.94;1.0;3.0;76.79;75+       ;75+       ;4;0;1.0;1591933.63
2;1;1;1.0;1.0;16678.85;1.0;4.0;49.12;75+       ;75+       ;3;1;1.0;1591933.63
3;1;1;1.0;1.0;4135.15;2.0;3.0;73.55;75+       ;75+       ;40;9;1.0;1591933.63
4;1;1;1.0;1.0;8324.2;1.0;2.0;86.84;75+       ;75+       ;35;5;1.0;1591933.63
5;1;1;1.0;1.0;3479.86;2.0;4.0;54.28;75+       ;75+       ;19;2;1.0;1591933.63
6;1;1;1.0;1.0;3954.35;1.0;4.0;53.99;75+       ;75+       ;13;0;1.0;1591933.63
7;1;1;1.0;1.0;2228.93;1.0;6.0;35.29;75+       ;75+       ;6;1;1.0;1591933.63
8;1;1;1.0;1.0;424.56;2.0;4.0;55.55;90-95     ;75+       ;3;1;1.0;1591933.63
9;1;1;1.0;1.0;1320.82;1.0;2.0;98.37;75+       ;75+       ;43;1;1.0;1591933.63
10;1;1;1.0;1.0;9876.66;1.0;5.0;48.02;75+       ;75+       ;10;1;1.0;1591933.63
11;1;1;1.0;1.0;1437.41;2.0;4.0;60.36;75+       ;75+       ;33;0;1.0;1591933.63
12;1;1;1.0;1.0;216.29;1.0;4.0;50.8;90-95     ;75+       ;8;1;1.0;1591933.63
13;1;1;1.0;1.0;1315.81;1.0;5.0;48.66;75+       ;75+       ;14;1;1.0;1591933.63
14;1;1;1.0;1.0;5147.01;1.0;3.0;66.67;75+       ;75+       ;8;1;1.0;1591933.63
15;1;1;1.0;1.0;4081.59;1.0;4.0;56.06;75+       ;75+       ;27;4;1.0;1591933.63
16;1;1;1.0;1.0;5620.01;1.0;2.0;92.23;75+       ;75+       ;11;3;1.0;1591933.63
17;1;1;1.0;1.0;4057.89;2.0;2.0;83.73;75+       ;75+       ;33;0;1.0;1591933.63
18;1;1;1.0;1.0;472.78;2.0;4.0;62.17;75+       ;75+       ;2;0;1.0;1591933.63
19;1;1;1.0;1.0;5309.52;2.0;4.0;50.2;75+       ;75+       ;25;3;1.0;1591933.63
20;1;1;1.0;1.0;49927.66;2.0;1.0;100.0;90-95     ;75+       ;33;0;1.0;1591933.63
21;1;1;1.0;1.0;14664.06;1.0;3.0;63.25;75+       ;75+       ;8;2;1.0;1591933.63
22;1;1;1.0;1.0;3756.07;1.0;3.0;79.2;75+       ;75+       ;29;2;1.0;1591933.63
23;1;1;1.0;1.0;4091.5;1.0;4.0;55.74;90-95     ;75+       ;12;0;1.0;1591933.63
24;1;1;1.0;1.0;15070.75;1.0;4.0;50.7;90-95     ;75+       ;23;5;1.0;1591933.63
25;1;1;1.0;1.0;6325.03;1.0;4.0;54.14;75+       ;75+       ;3;0;1.0;1591933.63
26;1;1;1.0;1.0;17985.05;2.0;4.0;57.96;75+       ;75+       ;3;0;1.0;1591933.63
27;1;1;1.0;1.0;21985.16;1.0;3.0;70.0;75+       ;75+       ;10;0;1.0;1591933.63
28;1;1;1.0;1.0;3757.61;2.0;3.0;65.94;75+       ;75+       ;2;0;1.0;1591933.63
29;1;1;1.0;1.0;2196.94;1.0;2.0;85.08;75+       ;75+       ;4;0;1.0;1591933.63
30;1;1;1.0;1.0;2848.04;1.0;1.0;100.0;75+       ;75+       ;22;2;1.0;1591933.63
31;1;1;1.0;1.0;14382.19;1.0;5.0;47.53;75+       ;75+       ;12;0;1.0;1591933.63
32;1;1;1.0;1.0;713.9881;2.0;4.0;55.96;75+       ;75+       ;5;0;1.0;1591933.63
33;1;1;1.0;1.0;402.75;2.0;3.0;78.86;75+       ;75+       ;12;0;1.0;1591933.63
34;1;1;1.0;1.0;5734.33;2.0;3.0;70.81;75+       ;75+       ;16;2;1.0;1591933.63
35;1;1;1.0;1.0;1137.2;1.0;3.0;70.33;75+       ;75+       ;1;1;1.0;1591933.63
36;1;1;1.0;1.0;860.58;2.0;3.0;74.62;75+       ;75+       ;28;1;1.0;1591933.63
37;1;1;1.0;1.0;14951.77;1.0;1.0;100.0;75+       ;75+       ;30;4;1.0;1591933.63
38;1;1;1.0;1.0;11592.76;1.0;2.0;89.18;75+       ;75+       ;124;4;1.0;1591933.63
39;1;1;1.0;1.0;10086.82;1.0;4.0;55.69;75+       ;75+       ;54;1;1.0;1591933.63
40;1;1;1.0;1.0;2036.53;2.0;4.0;52.25;75+       ;75+       ;12;2;1.0;1591933.63
41;1;1;1.0;1.0;6738.23;2.0;2.0;87.44;75+       ;75+       ;28;0;1.0;1591933.63
42;1;1;1.0;1.0;1464.18;1.0;2.0;81.72;75+       ;75+       ;13;1;1.0;1591933.63
43;1;1;1.0;1.0;2877.54;2.0;2.0;82.78;75+       ;75+       ;28;0;1.0;1591933.63
44;1;1;1.0;1.0;1680.12;2.0;3.0;78.93;75+       ;75+       ;14;2;1.0;1591933.63
45;1;1;1.0;1.0;3553.19;2.0;2.0;91.29;75+       ;75+       ;30;4;1.0;1591933.63
